(00000006, down)
(00000077, right)
(00000162, up)
(00000168, down)
(00000190, down)
(00000243, right)
(00000257, down)
(00000284, up)
(00000287, left)
(00000348, down)
(00000382, up)
(00000411, down)
(00000492, down)
(00000549, down)
(00000568, left)
(00000615, up)
(00000704, down)
(00000710, up)
(00000797, right)
(00000837, right)
(00000849, back)
(00000884, down)
(00000892, up)
(00000897, back)
(00000904, down)
(00000906, front)
(00000953, up)
(00000958, back)
(00000986, up)
(00001005, left)
(00001009, right)
(00001010, right)
(00001015, down)
(00001040, down)
(00001097, up)
(00001099, left)
(00001124, down)
(00001183, down)
(00001204, up)
(00001213, right)
(00001217, right)
(00001289, down)
(00001291, left)
(00001309, right)
(00001313, back)
(00001314, up)
(00001334, down)
(00001336, down)
(00001375, down)
(00001377, down)
(00001378, down)
(00001389, up)
(00001417, up)
(00001491, down)
(00001540, right)
(00001559, down)
(00001567, front)
(00001614, down)
(00001617, front)
(00001623, right)
(00001634, down)
(00001642, up)
(00001691, down)
(00001712, right)
(00001720, down)
(00001727, down)
(00001739, down)
(00001758, right)
(00001766, down)
(00001776, front)
(00001794, up)
(00001855, down)
(00001872, right)
(00001910, down)
(00001911, front)
(00001913, right)
(00001926, right)
(00001970, right)
(00001972, left)
(00001973, up)
(00001978, right)
(00001980, up)
(00001981, back)
(00001995, front)
(00002007, right)
(00002008, up)
(00002027, left)
(00002030, left)
(00002043, down)
(00002057, down)
(00002063, left)
(00002090, up)
(00002091, down)
(00002096, up)
(00002109, down)
(00002169, up)
(00002189, down)
(00002211, down)
(00002217, down)
(00002225, up)
(00002235, down)
(00002299, down)
(00002333, down)
(00002358, left)
(00002367, right)
(00002370, right)
(00002381, up)
(00002420, right)
(00002472, down)
(00002495, up)
(00002513, up)
(00002532, left)
(00002567, left)
(00002586, right)
(00002589, up)
(00002633, down)
(00002666, down)
(00002682, down)
(00002694, left)
(00002718, right)
(00002731, down)
(00002745, down)
(00002748, down)
(00002750, down)
(00002751, front)
(00002803, up)
(00002852, down)
(00002886, right)
(00002890, down)
(00002891, down)
(00002927, down)
(00002954, down)
(00002970, front)
(00002982, right)
(00003022, up)
(00003138, down)
(00003195, right)
(00003196, left)
(00003261, up)
(00003292, down)
(00003302, up)
(00003329, front)
(00003346, back)
(00003371, back)
(00003406, down)
(00003408, down)
(00003415, down)
(00003419, front)
(00003427, down)
(00003428, back)
(00003436, down)
(00003437, back)
(00003444, down)
(00003525, up)
(00003527, right)
(00003531, up)
(00003558, right)
(00003565, down)
(00003574, down)
(00003581, down)
(00003607, down)
(00003640, up)
(00003641, down)
(00003645, down)
(00003646, up)
(00003676, up)
(00003688, up)
(00003711, up)
